epoch,train_loss,val_loss,lr,grad_norm,area,distA,distB,angleA,angleB,p99_distA,p99_distB,p99_angleA,p99_angleB,w_distA,w_distB,w_angleA,w_angleB
0.0,3.8248969996924544,3.187051583014977,0.001,10.236948133961247,0.1550876372210989,0.5024907532330631,1.0001105669572596,0.6650663741436179,1.502141668137418,0.4706513824498964,0.6724970212341096,0.5220459395313534,0.8920504453225994,3.0,3.0,5.0,5.0
1.0,2.405806186746207,2.00983791843851,0.001,17.63337483899323,0.0939988686421518,0.358669396868308,0.7330116152884907,0.4263455659630079,0.79378073998425,0.4150289579721096,0.6573052578884528,0.42627751805350095,0.6988882737491767,3.0,3.0,5.0,5.0
2.0,1.862767958835657,1.606052938298565,0.001,14.776021589368419,0.06889282473953517,0.3519663916847637,0.5846429658224429,0.3548659931513489,0.5023997834375659,0.3997854975072687,0.6352866150828319,0.36295236584497526,0.5472136647502234,3.0,3.0,4.987971493674902,5.0
3.0,1.4720905498920898,1.2016703564037454,0.001,15.07806339126519,0.054904460793092816,0.31387266172346356,0.42091912067999665,0.313589231087534,0.368805075608003,0.3918829900505082,0.530364837687259,0.34546886972146923,0.3994094560654647,3.0,3.0,4.963836777582866,4.99208217841765
4.0,1.1621365416143066,1.0468438209203728,0.001,12.769165805754989,0.04576354917506423,0.24599421340550331,0.3068323442921966,0.2713758197435078,0.2921706149980343,0.3657715645722911,0.429574891772087,0.3196905764755046,0.3277112393140342,3.0,3.0,4.930165507046437,4.937179813919789
5.0,1.012666642535981,0.9759086137001209,0.001,12.733082393338506,0.04011881868724741,0.22316586240039385,0.2645358185820769,0.23454134064780197,0.2503048022184611,0.3478269366117261,0.3739842865712456,0.28319949338341477,0.2821326648271688,3.0,3.0,4.811313425594097,4.886516917543796
6.0,0.9071022314024161,0.7540936287792616,0.001,12.948167885580242,0.03613047452169957,0.19917346410581752,0.23222895889676953,0.20897409772016376,0.23059523615796537,0.31926495710492403,0.32649644153318386,0.27581111911458867,0.258409807613876,3.0,3.0,4.7383302045785785,4.77278077532692
7.0,0.8107316965109298,0.7852774573600106,0.001,13.086671940575686,0.033836484406929476,0.18698586584415794,0.20531638500434246,0.19050487349223538,0.1940880877632644,0.30462682139377767,0.29554921961996206,0.2549624201200543,0.2386944238174533,3.0,3.0,4.612813278575508,4.62294172397647
8.0,0.7321968024793081,0.5975041170131178,0.001,11.451464354685642,0.030179832860618285,0.17023386297974144,0.18458995888997246,0.1729452462016795,0.1742479015472966,0.2906061522722057,0.2684092239103925,0.23974503034609246,0.21101412344867285,2.9980358272703427,3.0,4.507507593032638,4.536083672114181
9.0,0.6818769706131574,0.6750213910479808,0.001,11.386045823862457,0.028159239663753142,0.15886721081716565,0.17203398648688578,0.1592354432622761,0.16358109038307656,0.275819120049151,0.25901858360533214,0.2202006043877625,0.201158454554678,3.0,3.0,4.3531586701109,4.382159820813011
10.0,0.6389449877993346,0.49477188674150546,0.001,10.976700682002159,0.026888278471995486,0.1496181634445028,0.16451003874430337,0.14759518184252737,0.1503333252960058,0.25729759597402263,0.2409511754658269,0.2077352555927796,0.1942290411864772,2.9981870962958186,3.0,4.324721093427375,4.1994914705460165
11.0,0.5728208600365299,0.5702816124491381,0.001,9.586498908332743,0.02510420603377807,0.14085154530817187,0.15084909995930418,0.13172525670970797,0.12429075202556801,0.2391713488687227,0.22731608080123597,0.19235507075619768,0.1690841377985144,3.0,3.0,4.050207564868216,4.011237390106828
12.0,0.5492079397670278,0.44169604219965564,0.001,9.830736949994296,0.02380994979829547,0.1365024675655424,0.14196246441425414,0.12728435304442942,0.1196487049445062,0.23439658658768697,0.21167142807026693,0.1829803558770248,0.16240794234222417,2.997439378640141,2.998965673791172,3.9446018559155864,3.8829330064510112
13.0,0.5355232119729955,0.5355556582639535,0.001,9.478985847415997,0.02379990333186916,0.13142899030377572,0.13795290514289604,0.123102902191069,0.11923851100338542,0.2155835221798343,0.2056993129737556,0.1765071489408879,0.16587131375979386,3.0,3.0,3.970268031435255,3.9071093689902883
14.0,0.5083193854512098,0.45789818513771713,0.001,8.912293618684092,0.022376315527345043,0.12561418197063423,0.1322293543679857,0.11586644877656319,0.11223308480868159,0.2086985222495688,0.1966034043961968,0.17113524070808536,0.15646458781004138,2.9946907045100857,2.998604316252756,3.8519500901200567,3.7846672010505458
